id,psgc,type,name
1340600063,,4,"Bgy. No. 56-A, Bacsil North"
1340600064,,4,"Bgy. No. 56-B, Bacsil South"
1340600065,,4,"Bgy. No. 57, Pila"
1340600066,,4,"Bgy. No. 58, Casili"
1340600067,,4,"Bgy. No. 59-A, Dibua South"
1340600068,,4,"Bgy. No. 59-B, Dibua North"
1340600069,,4,"Bgy. No. 6, San Agustin"
1340600070,,4,"Bgy. No. 60-A, Caaoacan"
1340600071,,4,"Bgy. No. 60-B, Madiladig"
1340600072,,4,"Bgy. No. 61, Cataban"
1340600073,,4,"Bgy. No. 62-A, Navotas North"
1340600074,,4,"Bgy. No. 62-B, Navotas South"
1340600075,,4,"Bgy. No. 7-A, Nstra. Sra. De Nativid"
1340600076,,4,"Bgy. No. 7-B, Nstra. Sra. De Nativid"
1340600077,,4,"Bgy. No. 8, San Vicente"
1340600078,,4,"Bgy. No. 9, Santa Angela"
1340600079,,4,"Bry. No. 18, San Quirino"
1340600080,,4,"Bry. No. 48-A, Cabungaan North"
1340601000,,3,Marcos
1340601001,,4,Cacafean
1340601002,,4,Daquioag
1340601003,,4,Elizabeth
1340601004,,4,Escoda
1340601005,,4,Ferdinand
1340601006,,4,Fortuna
1340601007,,4,Imelda
1340601008,,4,Lydia
1340601009,,4,Mabuti
1340601010,,4,Pacifico
1340601011,,4,Santiago
1340601012,,4,Tabucbuc
1340601013,,4,Valdez
1340602000,,3,Nueva Era
1340602001,,4,Acnam
1340602002,,4,Barangobong
1340602003,,4,Barikir
1340602004,,4,Bugayong
1340602005,,4,Cabittauran
1340602006,,4,Caray
1340602007,,4,Garnaden
1340602008,,4,Naguillan
1340602009,,4,Poblacion
1340602010,,4,Santo Niño
1340602011,,4,Uguis
1340603000,,3,Pagudpud
1340603001,,4,Aggasi
1340603002,,4,Baduang
1340603003,,4,Balaoi
1340603004,,4,Burayoc
1340603005,,4,Caparispisan
1340603006,,4,Caunayan
1340603007,,4,Dampig
1340603008,,4,Ligaya
1340603009,,4,Pancian
1340603010,,4,Pasaleng
1340603011,,4,Poblacion 1
1340603012,,4,Poblacion 2
1340603013,,4,Saguigui
1340603014,,4,Saud
1340603015,,4,Subec
1340603016,,4,Tarrag
1340604000,,3,Paoay Lake
1340604001,,4,Paoay Lake
1340605000,,3,Paoay
1340605001,,4,Bacsil
1340605002,,4,Cabagoan
1340605003,,4,Cabangaran
1340605004,,4,Callaguip
1340605005,,4,Cayubog
1340605006,,4,Dolores
1340605007,,4,Laoa
1340605008,,4,Masintoc
1340605009,,4,Monte
1340605010,,4,Mumulaan
1340605011,,4,Nagbacalan
1340605012,,4,Nalasin
1340605013,,4,Nanguyudan
1340605014,,4,Oaig-Upay-Abulao
1340605015,,4,Pambaran
1340605016,,4,Pannaratan
1340605017,,4,Paratong
1340605018,,4,Pasil
1340605019,,4,Salbang
1340605020,,4,San Agustin
1340605021,,4,San Blas
1340605022,,4,San Juan
1340605023,,4,San Pedro
1340605024,,4,San Roque
1340605025,,4,Sangladan Poblacion
1340605026,,4,Santa Rita
1340605027,,4,Sideg
1340605028,,4,Suba
1340605029,,4,Sungadan
1340605030,,4,Surgui
1340605031,,4,Veronica
1340606000,,3,Pasuquin
1340606001,,4,Batuli
1340606002,,4,Binsang
1340606003,,4,Caruan
1340606004,,4,Carusikis
1340606005,,4,Carusipan
1340606006,,4,Dadaeman
1340606007,,4,Darupidip
1340606008,,4,Davila
1340606009,,4,Dilanis
1340606010,,4,Dilavo
1340606011,,4,Estancia
1340606012,,4,Naglicuan
1340606013,,4,Nagsanga
1340606014,,4,Nalvo
1340606015,,4,Ngabangab
1340606016,,4,Pangil
1340606017,,4,Poblacion 1
1340606018,,4,Poblacion 2
1340606019,,4,Poblacion 3
1340606020,,4,Poblacion 4
1340606021,,4,Pragata
1340606022,,4,Puyupuyan
1340606023,,4,Salpad
1340606024,,4,San Juan
1340606025,,4,Santa Catalina
1340606026,,4,Santa Matilde
1340606027,,4,Sapat
1340606028,,4,Sulbec
1340606029,,4,Sulongan
1340606030,,4,Surong
1340606031,,4,Susugaen
1340606032,,4,Tabungao
1340606033,,4,Tadao
1340607000,,3,Piddig
1340607001,,4,Lagandit
1340607002,,4,Libnaoan
1340607003,,4,Loing
